"No.","Time","Source","Destination","Protocol","Length","Info"
"26","2.699958","172.217.28.164","10.40.3.139","TCP","60","443  >  62701 [ACK] Seq=1 Ack=1413 Win=994048 Len=0"
"27","2.706663","172.217.28.164","10.40.3.139","TCP","66","443  >  62701 [ACK] Seq=1 Ack=1900 Win=994048 Len=0 SLE=1 SRE=1900"
"28","2.712070","172.217.28.164","10.40.3.139","TCP","60","443  >  62701 [ACK] Seq=1 Ack=1901 Win=268032 Len=0"
"29","2.767537","172.217.28.164","10.40.3.139","TLSv1.3","4290","Server Hello, Change Cipher Spec"
"30","2.767537","172.217.28.164","10.40.3.139","TLSv1.3","1005","Application Data"
"31","2.767537","172.217.28.164","10.40.3.139","TCP","60","443  >  62701 [FIN, ACK] Seq=5188 Ack=1901 Win=268032 Len=0"
"32","2.767714","10.40.3.139","172.217.28.164","TCP","54","62701  >  443 [RST, ACK] Seq=1901 Ack=4237 Win=0 Len=0"
"33","2.767799","10.40.3.139","172.217.28.164","TCP","54","62701  >  443 [RST] Seq=1901 Win=0 Len=0"
"34","2.767849","10.40.3.139","172.217.28.164","TCP","54","62701  >  443 [RST] Seq=1901 Win=0 Len=0"
"35","2.834875","10.40.3.139","172.217.28.164","TCP","66","62702  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"36","2.852122","172.217.28.164","10.40.3.139","TCP","66","443  >  62702 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"37","2.852182","10.40.3.139","172.217.28.164","TCP","54","62702  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"38","2.853010","10.40.3.139","172.217.28.164","TLSv1.3","1953","Client Hello (SNI=www.google.com)"
"39","2.854285","172.217.28.164","10.40.3.139","TCP","60","443  >  62702 [ACK] Seq=1 Ack=1413 Win=994048 Len=0"
"40","2.876780","10.40.3.139","172.217.28.164","TCP","54","62702  >  443 [FIN, ACK] Seq=1900 Ack=1 Win=131072 Len=0"
"41","2.891853","172.217.28.164","10.40.3.139","TCP","66","443  >  62702 [ACK] Seq=1 Ack=1900 Win=994048 Len=0 SLE=1 SRE=1900"
"42","2.900035","172.217.28.164","10.40.3.139","TCP","60","443  >  62702 [ACK] Seq=1 Ack=1901 Win=268032 Len=0"
"43","2.925998","172.217.28.164","10.40.3.139","TLSv1.3","1466","Server Hello, Change Cipher Spec"
"44","2.925998","172.217.28.164","10.40.3.139","TCP","1466","443  >  62702 [PSH, ACK] Seq=1413 Ack=1901 Win=268032 Len=1412 [TCP PDU reassembled in 46]"
"45","2.925998","172.217.28.164","10.40.3.139","TCP","1466","443  >  62702 [ACK] Seq=2825 Ack=1901 Win=268032 Len=1412 [TCP PDU reassembled in 46]"
"46","2.925998","172.217.28.164","10.40.3.139","TLSv1.3","1006","Application Data"
"47","2.925998","172.217.28.164","10.40.3.139","TCP","60","443  >  62702 [FIN, ACK] Seq=5189 Ack=1901 Win=268032 Len=0"
"48","2.926071","10.40.3.139","172.217.28.164","TCP","54","62702  >  443 [RST, ACK] Seq=1901 Ack=1413 Win=0 Len=0"
"49","2.926158","10.40.3.139","172.217.28.164","TCP","54","62702  >  443 [RST] Seq=1901 Win=0 Len=0"
"50","2.926197","10.40.3.139","172.217.28.164","TCP","54","62702  >  443 [RST] Seq=1901 Win=0 Len=0"
"51","2.926234","10.40.3.139","172.217.28.164","TCP","54","62702  >  443 [RST] Seq=1901 Win=0 Len=0"
"52","2.926263","10.40.3.139","172.217.28.164","TCP","54","62702  >  443 [RST] Seq=1901 Win=0 Len=0"
"53","3.019361","10.40.3.139","172.217.28.164","TCP","66","62704  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"54","3.037127","172.217.28.164","10.40.3.139","TCP","66","443  >  62704 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"55","3.037236","10.40.3.139","172.217.28.164","TCP","54","62704  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"56","3.038042","10.40.3.139","172.217.28.164","TLSv1.3","1953","Client Hello (SNI=www.google.com)"
"57","3.039355","10.40.3.139","172.217.28.164","TCP","54","62704  >  443 [FIN, ACK] Seq=1900 Ack=1 Win=131072 Len=0"
"58","3.040242","172.217.28.164","10.40.3.139","TCP","60","443  >  62704 [ACK] Seq=1 Ack=1413 Win=994048 Len=0"
"59","3.055496","172.217.28.164","10.40.3.139","TCP","66","443  >  62704 [ACK] Seq=1 Ack=1900 Win=994048 Len=0 SLE=1 SRE=1900"
"60","3.061080","172.217.28.164","10.40.3.139","TCP","60","443  >  62704 [ACK] Seq=1 Ack=1901 Win=268032 Len=0"
"61","3.101894","142.251.128.174","10.40.3.139","TLSv1.2","188","Application Data"
"62","3.101894","142.251.128.174","10.40.3.139","TLSv1.2","317","Application Data"
"63","3.101894","142.251.128.174","10.40.3.139","TLSv1.2","93","Application Data"
"64","3.102055","10.40.3.139","142.251.128.174","TCP","54","62388  >  443 [ACK] Seq=1 Ack=437 Win=511 Len=0"
"65","3.102385","10.40.3.139","142.251.128.174","TLSv1.2","93","Application Data"
"66","3.105595","172.217.28.164","10.40.3.139","TLSv1.3","4290","Server Hello, Change Cipher Spec"
"67","3.105595","172.217.28.164","10.40.3.139","TLSv1.3","1006","Application Data"
"68","3.105595","172.217.28.164","10.40.3.139","TCP","60","443  >  62704 [FIN, ACK] Seq=5189 Ack=1901 Win=268032 Len=0"
"69","3.105754","10.40.3.139","172.217.28.164","TCP","54","62704  >  443 [RST, ACK] Seq=1901 Ack=4237 Win=0 Len=0"
"70","3.105899","10.40.3.139","172.217.28.164","TCP","54","62704  >  443 [RST] Seq=1901 Win=0 Len=0"
"71","3.105970","10.40.3.139","172.217.28.164","TCP","54","62704  >  443 [RST] Seq=1901 Win=0 Len=0"
"72","3.119498","142.251.128.174","10.40.3.139","TCP","60","443  >  62388 [ACK] Seq=437 Ack=40 Win=1469 Len=0"
"73","3.120348","10.40.3.139","172.217.28.164","TCP","66","62705  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"74","3.142332","172.217.28.164","10.40.3.139","TCP","66","443  >  62705 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"75","3.142462","10.40.3.139","172.217.28.164","TCP","54","62705  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"76","3.144251","10.40.3.139","172.217.28.164","TLSv1.3","1953","Client Hello (SNI=www.google.com)"
"77","3.148115","172.217.28.164","10.40.3.139","TCP","60","443  >  62705 [ACK] Seq=1 Ack=1413 Win=994048 Len=0"
"78","3.155354","10.40.3.139","172.217.28.164","TCP","54","62705  >  443 [FIN, ACK] Seq=1900 Ack=1 Win=131072 Len=0"
"79","3.170114","172.217.28.164","10.40.3.139","TCP","66","443  >  62705 [ACK] Seq=1 Ack=1900 Win=994048 Len=0 SLE=1 SRE=1900"
"80","3.177409","172.217.28.164","10.40.3.139","TCP","60","443  >  62705 [ACK] Seq=1 Ack=1901 Win=268800 Len=0"
"81","3.188390","10.40.3.139","142.251.128.174","TLSv1.2","3130","Application Data"
"82","3.191816","10.40.3.139","10.40.0.2","DNS","75","Standard query 0x2b71 A www.youtube.com"
"83","3.194638","10.40.0.2","10.40.3.139","DNS","541","Standard query response 0x2b71 A www.youtube.com CNAME youtube-ui.l.google.com A 172.217.28.46 A 172.217.30.78 A 172.217.29.238 A 142.251.132.238 A 142.250.219.206 A 142.251.134.238 A 172.217.30.14 A 172.217.29.46 A 172.217.30.46 A 172.217.28.78 A 142.251.128.174 A 172.217.28.174 A 172.217.28.142 A 172.217.30.110 A 172.217.28.206 A 142.250.219.238 NS ns1.google.com NS ns4.google.com NS ns2.google.com NS ns3.google.com A 216.239.32.10 AAAA 2001:4860:4802:32::a A 216.239.34.10 AAAA 2001:4860:4802:34::a A 216.239.36.10"
"84","3.196135","10.40.3.139","10.40.0.2","DNS","83","Standard query 0xbb46 A youtube-ui.l.google.com"
"85","3.200570","10.40.0.2","10.40.3.139","DNS","543","Standard query response 0xbb46 A youtube-ui.l.google.com A 142.250.219.206 A 172.217.28.206 A 142.251.132.238 A 172.217.28.46 A 172.217.30.46 A 172.217.30.110 A 142.251.134.238 A 172.217.28.78 A 172.217.29.238 A 172.217.29.46 A 172.217.28.142 A 142.250.219.238 A 172.217.30.14 A 172.217.28.174 A 172.217.30.78 A 142.251.128.174 NS ns1.google.com NS ns2.google.com NS ns4.google.com NS ns3.google.com A 216.239.32.10 AAAA 2001:4860:4802:32::a A 216.239.34.10 AAAA 2001:4860:4802:34::a A 216.239.36.10 AAAA 2001:4860:4802:36::a"
"86","3.201891","10.40.3.139","10.40.0.2","DNS","83","Standard query 0x4c7d AAAA youtube-ui.l.google.com"
"87","3.205106","10.40.0.2","10.40.3.139","DNS","443","Standard query response 0x4c7d AAAA youtube-ui.l.google.com AAAA 2800:3f0:4001:83a::200e AAAA 2800:3f0:4001:83c::200e AAAA 2800:3f0:4001:839::200e AAAA 2800:3f0:4001:817::200e NS ns2.google.com NS ns4.google.com NS ns3.google.com NS ns1.google.com A 216.239.32.10 AAAA 2001:4860:4802:32::a A 216.239.34.10 AAAA 2001:4860:4802:34::a A 216.239.36.10 AAAA 2001:4860:4802:36::a A 216.239.38.10 AAAA 2001:4860:4802:38::a"
"88","3.205106","142.251.128.174","10.40.3.139","TCP","66","[TCP Dup ACK 72#1] 443  >  62388 [ACK] Seq=437 Ack=40 Win=1480 Len=0 SLE=2864 SRE=3116"
"89","3.205106","142.251.128.174","10.40.3.139","TCP","66","443  >  62388 [ACK] Seq=437 Ack=1452 Win=1491 Len=0 SLE=2864 SRE=3116"
"90","3.205106","142.251.128.174","10.40.3.139","TCP","60","443  >  62388 [ACK] Seq=437 Ack=3116 Win=1502 Len=0"
"91","3.217702","172.217.28.164","10.40.3.139","TLSv1.3","4290","Server Hello, Change Cipher Spec"
"92","3.217702","172.217.28.164","10.40.3.139","TLSv1.3","1005","Application Data"
"93","3.217702","172.217.28.164","10.40.3.139","TCP","60","443  >  62705 [FIN, ACK] Seq=5188 Ack=1901 Win=268800 Len=0"
"94","3.217940","10.40.3.139","172.217.28.164","TCP","54","62705  >  443 [RST, ACK] Seq=1901 Ack=4237 Win=0 Len=0"
"95","3.218136","10.40.3.139","172.217.28.164","TCP","54","62705  >  443 [RST] Seq=1901 Win=0 Len=0"
"96","3.218168","10.40.3.139","172.217.28.164","TCP","54","62705  >  443 [RST] Seq=1901 Win=0 Len=0"
"97","3.230516","10.40.3.139","172.217.28.206","TCP","66","62706  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"98","3.246037","172.217.28.206","10.40.3.139","TCP","66","443  >  62706 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"99","3.246145","10.40.3.139","172.217.28.206","TCP","54","62706  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"100","3.247552","10.40.3.139","172.217.28.206","TLSv1.3","2525","Client Hello (SNI=www.youtube.com)"
"101","3.248215","10.40.3.139","172.217.28.206","TLSv1.3","60","Change Cipher Spec"
"102","3.248290","10.40.3.139","172.217.28.206","TLSv1.3","1923","Application Data"
"103","3.249862","172.217.28.206","10.40.3.139","TCP","60","443  >  62706 [ACK] Seq=1 Ack=1413 Win=994048 Len=0"
"104","3.249862","172.217.28.206","10.40.3.139","TCP","66","443  >  62706 [ACK] Seq=1 Ack=2478 Win=994048 Len=0 SLE=1 SRE=2472"
"105","3.250597","172.217.28.206","10.40.3.139","TCP","60","443  >  62706 [ACK] Seq=1 Ack=3890 Win=994048 Len=0"
"106","3.250597","172.217.28.206","10.40.3.139","TCP","60","443  >  62706 [ACK] Seq=1 Ack=4347 Win=994048 Len=0"
"107","3.317733","172.217.28.206","10.40.3.139","TLSv1.3","1466","Server Hello, Change Cipher Spec, Application Data"
"108","3.317733","172.217.28.206","10.40.3.139","TLSv1.3","500","Application Data"
"109","3.317733","172.217.28.206","10.40.3.139","TLSv1.3","116","Application Data"
"110","3.317733","172.217.28.206","10.40.3.139","TLSv1.3","85","Application Data"
"111","3.317796","10.40.3.139","172.217.28.206","TCP","54","62706  >  443 [ACK] Seq=4347 Ack=1952 Win=131072 Len=0"
"112","3.318575","10.40.3.139","172.217.28.206","TLSv1.3","138","Application Data, Application Data"
"113","3.320307","10.40.3.139","172.217.28.206","TLSv1.3","85","Application Data"
"114","3.334135","172.217.28.206","10.40.3.139","TCP","60","443  >  62706 [ACK] Seq=1952 Ack=4431 Win=265728 Len=0"
"115","3.335689","172.217.28.206","10.40.3.139","TCP","60","443  >  62706 [ACK] Seq=1952 Ack=4462 Win=265728 Len=0"
"116","3.360928","142.251.128.174","10.40.3.139","TLSv1.2","120","Application Data"
"117","3.360928","142.251.128.174","10.40.3.139","TLSv1.2","137","Application Data"
"118","3.361026","10.40.3.139","142.251.128.174","TCP","54","62388  >  443 [ACK] Seq=3116 Ack=586 Win=510 Len=0"
"119","3.439919","172.217.28.206","10.40.3.139","TLSv1.3","1466","Application Data"
"120","3.439919","172.217.28.206","10.40.3.139","TLSv1.3","274","Application Data"
"121","3.439919","172.217.28.206","10.40.3.139","TLSv1.3","2878","Application Data, Application Data"
"122","3.439919","172.217.28.206","10.40.3.139","TLSv1.3","865","Application Data"
"123","3.440062","10.40.3.139","172.217.28.206","TCP","54","62706  >  443 [ACK] Seq=4462 Ack=7219 Win=131072 Len=0"
"124","3.445745","172.217.28.206","10.40.3.139","TLSv1.3","5702","Application Data, Application Data, Application Data, Application Data"
"125","3.445893","10.40.3.139","172.217.28.206","TCP","54","62706  >  443 [ACK] Seq=4462 Ack=12867 Win=131072 Len=0"
"126","3.453775","172.217.28.206","10.40.3.139","TLSv1.3","4290","Application Data, Application Data, Application Data"
"127","3.453775","172.217.28.206","10.40.3.139","TLSv1.3","223","Application Data"
"128","3.453775","172.217.28.206","10.40.3.139","TLSv1.3","4290","Application Data, Application Data, Application Data"
"129","3.453775","172.217.28.206","10.40.3.139","TLSv1.3","903","Application Data"
"130","3.453913","10.40.3.139","172.217.28.206","TCP","54","62706  >  443 [ACK] Seq=4462 Ack=22357 Win=131072 Len=0"
"131","3.455613","172.217.28.206","10.40.3.139","TLSv1.3","7114","Application Data, Application Data, Application Data, Application Data, Application Data"
"132","3.455613","172.217.28.206","10.40.3.139","TLSv1.3","773","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"133","3.455613","172.217.28.206","10.40.3.139","TLSv1.3","281","Application Data, Application Data"
"134","3.455822","10.40.3.139","172.217.28.206","TCP","54","62706  >  443 [ACK] Seq=4462 Ack=30363 Win=131072 Len=0"
"135","3.457162","172.217.28.206","10.40.3.139","TLSv1.3","5702","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"136","3.457258","10.40.3.139","172.217.28.206","TCP","54","62706  >  443 [ACK] Seq=4462 Ack=36011 Win=131072 Len=0"
"137","3.464619","172.217.28.206","10.40.3.139","TLSv1.3","4290","Application Data, Application Data, Application Data, Application Data"
"138","3.464619","172.217.28.206","10.40.3.139","TLSv1.3","1100","Application Data, Application Data"
"139","3.464752","10.40.3.139","172.217.28.206","TCP","54","62706  >  443 [ACK] Seq=4462 Ack=41293 Win=131072 Len=0"
"140","3.906681","10.40.3.139","10.40.0.2","DNS","90","Standard query 0xe3fc A incoming.telemetry.mozilla.org"
"141","3.919460","10.40.0.2","10.40.3.139","DNS","363","Standard query response 0xe3fc A incoming.telemetry.mozilla.org CNAME telemetry-incoming.r53-2.services.mozilla.com A 34.120.208.123 NS ns-1537.awsdns-00.co.uk NS ns-1507.awsdns-60.org NS ns-206.awsdns-25.com NS ns-772.awsdns-32.net A 205.251.192.206 A 205.251.195.4 A 205.251.197.227 A 205.251.198.1"
"142","3.920053","10.40.3.139","10.40.0.2","DNS","71","Standard query 0xb7b0 A i.ytimg.com"
"143","3.920919","10.40.3.139","10.40.0.2","DNS","105","Standard query 0x574e A telemetry-incoming.r53-2.services.mozilla.com"
"144","3.921183","10.40.3.139","34.120.208.123","TCP","66","62707  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"145","3.923715","10.40.0.2","10.40.3.139","DNS","554","Standard query response 0xb7b0 A i.ytimg.com A 172.217.29.118 A 172.217.28.150 A 172.217.30.118 A 172.217.28.182 A 142.250.219.214 A 172.217.29.54 A 142.251.132.214 A 172.217.29.86 A 142.251.129.22 A 142.251.128.246 A 172.217.28.86 A 172.217.30.54 A 172.217.29.150 A 142.251.135.22 A 142.251.132.246 A 172.217.28.214 NS ns3.google.com NS ns1.google.com NS ns2.google.com NS ns4.google.com A 216.239.32.10 AAAA 2001:4860:4802:32::a A 216.239.34.10 AAAA 2001:4860:4802:34::a A 216.239.36.10 AAAA 2001:4860:4802:36::a A 216.239.38.10"
"146","3.923715","10.40.0.2","10.40.3.139","DNS","322","Standard query response 0x574e A telemetry-incoming.r53-2.services.mozilla.com A 34.120.208.123 NS ns-772.awsdns-32.net NS ns-1507.awsdns-60.org NS ns-206.awsdns-25.com NS ns-1537.awsdns-00.co.uk A 205.251.192.206 A 205.251.195.4 A 205.251.197.227 A 205.251.198.1"
"147","3.925339","10.40.3.139","10.40.0.2","DNS","71","Standard query 0x7946 A i.ytimg.com"
"148","3.926658","10.40.0.2","10.40.3.139","DNS","554","Standard query response 0x7946 A i.ytimg.com A 142.251.132.246 A 172.217.30.54 A 142.251.132.214 A 142.251.128.246 A 142.251.135.22 A 172.217.28.150 A 172.217.28.214 A 172.217.30.118 A 172.217.29.54 A 142.251.129.22 A 172.217.29.150 A 172.217.29.118 A 172.217.28.182 A 172.217.28.86 A 142.250.219.214 A 172.217.29.86 NS ns3.google.com NS ns1.google.com NS ns2.google.com NS ns4.google.com A 216.239.32.10 AAAA 2001:4860:4802:32::a A 216.239.34.10 AAAA 2001:4860:4802:34::a A 216.239.36.10 AAAA 2001:4860:4802:36::a A 216.239.38.10"
"149","3.927166","10.40.3.139","10.40.0.2","DNS","71","Standard query 0x66b5 AAAA i.ytimg.com"
"150","3.937827","34.120.208.123","10.40.3.139","TCP","66","443  >  62707 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"151","3.937914","10.40.3.139","34.120.208.123","TCP","54","62707  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"152","3.938810","10.40.3.139","34.120.208.123","TLSv1.3","1969","Client Hello (SNI=incoming.telemetry.mozilla.org)"
"153","3.945422","34.120.208.123","10.40.3.139","TCP","60","443  >  62707 [ACK] Seq=1 Ack=1413 Win=994048 Len=0"
"154","3.951157","10.40.3.139","10.40.0.2","DNS","80","Standard query 0x4fff A fonts.googleapis.com"
"155","3.953275","10.40.0.2","10.40.3.139","DNS","351","Standard query response 0x4fff A fonts.googleapis.com A 172.217.29.74 NS ns3.google.com NS ns1.google.com NS ns2.google.com NS ns4.google.com A 216.239.32.10 AAAA 2001:4860:4802:32::a A 216.239.34.10 AAAA 2001:4860:4802:34::a A 216.239.36.10 AAAA 2001:4860:4802:36::a A 216.239.38.10 AAAA 2001:4860:4802:38::a"
"156","3.954592","10.40.3.139","10.40.0.2","DNS","80","Standard query 0x5520 A fonts.googleapis.com"
"157","3.965152","10.40.0.2","10.40.3.139","DNS","351","Standard query response 0x5520 A fonts.googleapis.com A 172.217.29.74 NS ns4.google.com NS ns3.google.com NS ns1.google.com NS ns2.google.com A 216.239.32.10 AAAA 2001:4860:4802:32::a A 216.239.34.10 AAAA 2001:4860:4802:34::a A 216.239.36.10 AAAA 2001:4860:4802:36::a A 216.239.38.10 AAAA 2001:4860:4802:38::a"
"158","3.965152","34.120.208.123","10.40.3.139","TCP","66","443  >  62707 [ACK] Seq=1 Ack=1916 Win=994048 Len=0 SLE=1 SRE=1916"
"159","3.965152","34.120.208.123","10.40.3.139","TLSv1.3","1466","Server Hello, Change Cipher Spec"
"160","3.965152","34.120.208.123","10.40.3.139","TCP","690","443  >  62707 [PSH, ACK] Seq=1413 Ack=1916 Win=268032 Len=636 [TCP PDU reassembled in 162]"
"161","3.965152","34.120.208.123","10.40.3.139","TCP","1466","443  >  62707 [ACK] Seq=2049 Ack=1916 Win=268032 Len=1412 [TCP PDU reassembled in 162]"
"162","3.965152","34.120.208.123","10.40.3.139","TLSv1.3","104","Application Data"
"163","3.965308","10.40.3.139","34.120.208.123","TCP","54","62707  >  443 [ACK] Seq=1916 Ack=3511 Win=131072 Len=0"
"164","3.965853","10.40.3.139","10.40.0.2","DNS","80","Standard query 0x17d6 AAAA fonts.googleapis.com"
"165","3.966917","10.40.3.139","200.134.21.24","DNS","71","Standard query 0x66b5 AAAA i.ytimg.com"
"166","3.969488","10.40.0.2","10.40.3.139","DNS","363","Standard query response 0x17d6 AAAA fonts.googleapis.com AAAA 2800:3f0:4001:81c::200a NS ns4.google.com NS ns3.google.com NS ns1.google.com NS ns2.google.com A 216.239.32.10 AAAA 2001:4860:4802:32::a A 216.239.34.10 AAAA 2001:4860:4802:34::a A 216.239.36.10 AAAA 2001:4860:4802:36::a A 216.239.38.10 AAAA 2001:4860:4802:38::a"
"167","3.973215","10.40.3.139","10.40.0.2","DNS","77","Standard query 0x42ae A ocsp.digicert.com"
"168","3.973646","10.40.3.139","10.40.0.2","DNS","71","Standard query 0x8622 HTTPS i.ytimg.com"
"169","3.975645","10.40.3.139","142.251.132.246","TCP","66","62708  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"170","3.978016","10.40.0.2","10.40.3.139","DNS","534","Standard query response 0x42ae A ocsp.digicert.com CNAME ocsp.edge.digicert.com CNAME cac-ocsp.digicert.com.edgekey.net CNAME e3913.cd.akamaiedge.net A 23.42.196.39 NS n7cd.akamaiedge.net NS n0cd.akamaiedge.net NS n3cd.akamaiedge.net NS n4cd.akamaiedge.net NS n5cd.akamaiedge.net NS n6cd.akamaiedge.net NS n2cd.akamaiedge.net NS n1cd.akamaiedge.net A 88.221.81.192 AAAA 2600:1480:e800::c0 A 23.192.190.58 AAAA 2600:1408:7:f000:c648:586e:90e8:4a76 A 23.192.190.56 A 23.192.190.59 A 2.18.164.202 A 2.16.166.131 A 2.16.166.130 A 2.16.166.133"
"171","3.978016","10.40.0.2","10.40.3.139","DNS","128","Standard query response 0x8622 HTTPS i.ytimg.com SOA ns1.google.com"
"172","3.979266","10.40.3.139","23.42.196.39","TCP","66","62709  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"173","3.980085","10.40.3.139","10.40.0.2","DNS","83","Standard query 0x3519 A e3913.cd.akamaiedge.net"
"174","3.982979","10.40.0.2","10.40.3.139","DNS","435","Standard query response 0x3519 A e3913.cd.akamaiedge.net A 23.42.196.39 NS n4cd.akamaiedge.net NS n5cd.akamaiedge.net NS n2cd.akamaiedge.net NS n7cd.akamaiedge.net NS n6cd.akamaiedge.net NS n3cd.akamaiedge.net NS n1cd.akamaiedge.net NS n0cd.akamaiedge.net A 88.221.81.192 AAAA 2600:1480:e800::c0 A 23.192.190.58 AAAA 2600:1408:7:f000:c648:586e:90e8:4a76 A 23.192.190.56 A 23.192.190.59 A 2.18.164.202 A 2.16.166.131 A 2.16.166.130 A 2.16.166.133"
"175","3.983932","10.40.3.139","10.40.0.2","DNS","83","Standard query 0xa241 AAAA e3913.cd.akamaiedge.net"
"176","3.987550","10.40.0.2","10.40.3.139","DNS","145","Standard query response 0xa241 AAAA e3913.cd.akamaiedge.net SOA n0cd.akamaiedge.net"
"177","3.998087","23.42.196.39","10.40.3.139","TCP","66","80  >  62709 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
